SPCD,variant,n,obs_mort,auc,common_name
264,BC,1266,0.06793048973143756,0.6183484430429641,SPCD 264
264,BM,57,0.01754385964912286,1,SPCD 264
264,CA,208,0.12019230769230771,0.7005464480874317,SPCD 264
264,EC,1779,0.06070826306914001,0.6298235698295542,SPCD 264
264,IE,1330,0.048120300751879674,0.5290901461295419,SPCD 264
264,KT,343,0.03206997084548102,0.6552573932092004,SPCD 264
264,OC,400,0.057499999999999996,0.6605927805328106,SPCD 264
264,OP,1528,0.08769633507853403,0.520139617550697,SPCD 264
264,PN,150,0.040000000000000036,0.9328703703703703,SPCD 264
264,SO,2214,0.08717253839205064,0.5545733528520483,SPCD 264
264,WC,2637,0.06522563519150548,0.6027430539176376,SPCD 264
264,WS,775,0.020645161290322567,0.8336627140974967,SPCD 264
303,SN,3,0.6666666666666667,0,SPCD 303
311,SN,113,0.12389380530973448,0.759018759018759,SPCD 311
312,BC,378,0.07671957671957674,0.7284853275368046,SPCD 312
312,CA,446,0.11210762331838564,0.6178787878787879,SPCD 312
312,EC,82,0.03658536585365857,0.4219409282700422,SPCD 312
312,NC,114,0.04385964912280704,0.43486238532110094,SPCD 312
312,OC,343,0.13119533527696792,0.6444444444444445,SPCD 312
312,OP,551,0.05989110707803991,0.5945945945945946,SPCD 312
312,PN,1729,0.04453441295546556,0.8704521870381434,SPCD 312
312,SO,1,0,0,SPCD 312
312,WC,737,0.08141112618724555,0.5137370753323486,SPCD 312
312,WS,157,0.07643312101910826,0.6827586206896552,SPCD 312
313,ACD,5,0.19999999999999996,0.75,SPCD 313
313,CA,11,0.2727272727272727,0.20833333333333337,SPCD 313
313,CR,16,0.0625,0.8,SPCD 313
313,CS,584,0.09417808219178081,0.9293349372744457,SPCD 313
313,EM,4,0.25,0,SPCD 313
313,KT,4,0.25,0,SPCD 313
313,LS,316,0.07594936708860756,0.8443207762557078,SPCD 313
313,NE,51,0.039215686274509776,0.9387755102040816,SPCD 313
313,OC,10,0.30000000000000004,0.4761904761904762,SPCD 313
313,ON,344,0.061046511627906974,0.8810260946483857,SPCD 313
313,SN,130,0.17692307692307696,0.65826899634295,SPCD 313
313,UT,4,0,NA,SPCD 313
314,CS,90,0.022222222222222254,1,SPCD 314
314,LS,5,0,NA,SPCD 314
314,NE,6,0,NA,SPCD 314
314,ON,5,0,NA,SPCD 314
314,SN,1,0,0,SPCD 314
315,ACD,706,0.07648725212464591,0.8447227902749375,SPCD 315
315,LS,6,0,NA,SPCD 315
315,NE,471,0.0997876857749469,0.8419309514251304,SPCD 315
315,ON,5,0,NA,SPCD 315
315,SN,18,0.2777777777777778,0.7076923076923077,SPCD 315
316,ACD,6434,0.030618588747280073,0.9087287344478545,Red maple
316,CS,817,0.03427172582619342,0.7978906391453919,Red maple
316,LS,4644,0.0267011197243755,0.9116079075078504,Red maple
316,NE,7906,0.035542625853781984,0.9247119771308558,Red maple
316,ON,4581,0.027068325693080153,0.9301732685807754,Red maple
316,SN,2759,0.15549111997100395,0.609781205918545,Red maple
317,ACD,9,0,NA,SPCD 317
317,CS,815,0.07361963190184051,0.876644591611479,SPCD 317
317,LS,235,0.03829787234042559,0.8593903638151426,SPCD 317
317,NE,44,0.045454545454545414,1,SPCD 317
317,ON,206,0.04854368932038833,0.7489795918367347,SPCD 317
317,SN,25,0.19999999999999996,0.64,SPCD 317
318,ACD,2941,0.02720163209792592,0.9193638587906326,Sugar maple
318,CS,2119,0.021236432279377104,0.9455266259509268,Sugar maple
318,LS,4169,0.0237467018469657,0.9041893132802223,Sugar maple
