variant,size_class,n,obs_mort_rate,pred_mort_rate,resid_rate
CR,MedSaw (15-21),4044,0.10558852621167159,0.10707147707988984,0.001482950868218258
CR,LargeSaw (21+),1385,0.08808664259927801,0.07763850346098311,-0.010448139138294898
CS,Sapling (1-5),7353,0.040799673602611164,0.04499575408076062,0.004196080478149455
CS,Pole (5-9),23886,0.0646822406430545,0.06290188206180869,-0.0017803585812458111
CS,SmallSaw (9-15),14034,0.055650562918626245,0.057591461918675035,0.0019408990000487902
CS,MedSaw (15-21),3744,0.055288461538461564,0.05711146591470351,0.0018230043762419434
CS,LargeSaw (21+),983,0.04984740590030523,0.05197849317996195,0.002131087279656718
EC,Sapling (1-5),4425,0.12338983050847463,0.15554365528813408,0.032153824779659446
EC,Pole (5-9),20531,0.20033120646826752,0.19417036512035812,-0.006160841347909396
EC,SmallSaw (9-15),12531,0.18394381932806636,0.1779311572946043,-0.006012662033462068
EC,MedSaw (15-21),4337,0.12912151256629,0.1539665995020516,0.024845086935761596
EC,LargeSaw (21+),8176,0.12071917808219179,0.1261388998325067,0.00541972175031491
EM,Sapling (1-5),6144,0.08121744791666663,0.08284182210850499,0.0016243741918383625
EM,Pole (5-9),29027,0.166844661866538,0.16641828172243256,-4.263801441054538e-4
EM,SmallSaw (9-15),12318,0.2167559668777399,0.2120842912445695,-0.004671675633170391
EM,MedSaw (15-21),2033,0.16379734382685684,0.19618943800429023,0.032392094177433384
EM,LargeSaw (21+),478,0.16527196652719667,0.12345916196313222,-0.04181280456406444
IE,Sapling (1-5),6187,0.09859382576369813,0.09273386433441211,-0.00585996142928602
IE,Pole (5-9),24793,0.13189206630903882,0.13084098101006214,-0.001051085298976684
IE,SmallSaw (9-15),13718,0.14783496136463037,0.14302258962379688,-0.004812371740833488
IE,MedSaw (15-21),3789,0.13380839271575617,0.14070327194821008,0.00689487923245391
IE,LargeSaw (21+),1513,0.11764705882352944,0.11248609215697958,-0.00516096666654986
KT,Sapling (1-5),6268,0.08120612635609448,0.07975226451278017,-0.001453861843314308
KT,Pole (5-9),27939,0.14843050932388413,0.15025620731233436,0.0018256979884502256
KT,SmallSaw (9-15),12659,0.18627063749111306,0.18153284152046234,-0.0047377959706507156
