variant,sp_idx,SPCD,sp_code,default_sdimax,calibrated_sdimax,pct_change,abs_change
LS,55,462,HK,420,272.26962108547275,-35.17389974155411,-147.73037891452725
LS,56,491,DW,257,NA,NA,NA
LS,57,500,HT,463,246.79744633559756,-46.69601591023811,-216.20255366440244
LS,58,660,AP,422,NA,NA,NA
LS,59,693,BG,430,NA,NA,NA
LS,60,731,SY,499,NA,NA,NA
LS,61,761,PR,463,NA,NA,NA
LS,62,763,CC,463,NA,NA,NA
LS,63,760,PL,463,NA,NA,NA
LS,64,920,WI,447,NA,NA,NA
LS,65,922,BL,447,280.7172102008708,-37.19972926155016,-166.2827897991292
LS,66,923,DM,447,NA,NA,NA
LS,67,931,SS,492,336.953487633406,-31.51351877369797,-155.04651236659402
LS,68,935,MA,338,NA,NA,NA
NE,1,12,BF,655,349.75823527935876,-46.60179614055592,-305.24176472064124
NE,2,71,TA,387,418.5123671452727,8.142730528494242,31.51236714527272
NE,3,94,WS,412,362.26013671461806,-12.07278235082086,-49.739863285381944
NE,4,97,RS,506,380.11920851410093,-24.87762677586938,-125.88079148589907
NE,5,91,NS,412,371.32421500872954,-9.872763347395743,-40.67578499127046
NE,6,95,BS,500,257.19891320425097,-48.56021735914981,-242.80108679574903
NE,7,90,PI,412,NA,NA,NA
NE,8,125,RN,505,463.432984161917,-8.231092245164955,-41.56701583808302
NE,9,129,WP,529,405.6191646163261,-23.323409335288073,-123.38083538367391
NE,10,131,LP,480,447.3917676087598,-6.7933817481750465,-32.60823239124022
NE,11,132,VP,499,257.05314606288033,-48.48634347437268,-241.94685393711967
NE,12,241,WC,771,504.22233019811085,-34.60151359298173,-266.77766980188915
NE,13,43,AW,771,653.9795112333884,-15.177754703840675,-117.0204887666116
NE,14,68,RC,354,298.42559153612876,-15.698985441771537,-55.57440846387124
NE,15,57,JU,354,NA,NA,NA
NE,16,261,EH,510,419.78489318426944,-17.689236630535405,-90.21510681573056
NE,17,260,HM,518,NA,NA,NA
NE,18,100,OP,529,NA,NA,NA
NE,19,105,JP,356,NA,NA,NA
NE,20,110,SP,490,NA,NA,NA
NE,21,123,TM,398,NA,NA,NA
NE,22,126,PP,398,287.5357514241986,-27.754836325578236,-110.46424857580138
NE,23,128,PD,310,NA,NA,NA
NE,24,130,SC,408,299.7246746358549,-26.538069942192422,-108.27532536414509
NE,25,299,OS,354,NA,NA,NA
NE,26,316,RM,421,345.1330466576303,-18.020654000562875,-75.8669533423697
NE,27,318,SM,371,329.80324529668786,-11.104246550757988,-41.19675470331214
NE,28,314,BM,371,NA,NA,NA
NE,29,317,SV,590,362.59432472247335,-38.543334792801126,-227.40567527752665
NE,30,371,YB,369,367.87835147832385,-0.3039697890721273,-1.1216485216761498
NE,31,372,SB,350,336.89531103752734,-3.744196846420761,-13.104688962472665
NE,32,373,RB,400,NA,NA,NA
NE,33,375,PB,466,334.771179956692,-28.16069099641803,-131.22882004330802
NE,34,379,GB,466,261.6856928855672,-43.84427191296841,-204.31430711443278
NE,35,400,HI,302,278.35089800840234,-7.830828474038961,-23.64910199159766
NE,36,403,PH,276,308.02988022726424,11.605029067849363,32.02988022726424
NE,37,405,SL,302,NA,NA,NA
NE,38,407,SH,302,288.08679056686236,-4.607022991105178,-13.913209433137638
NE,39,409,MH,230,270.7022379247208,17.69662518466122,40.702237924720805
NE,40,531,AB,364,336.4068077630088,-7.580547317854718,-27.59319223699117
NE,41,540,AS,414,NA,NA,NA
NE,42,541,WA,408,375.1371442581903,-8.054621505345517,-32.86285574180971
NE,43,543,BA,423,387.5948441651866,-8.37001319971948,-35.4051558348134
NE,44,544,GA,414,291.28342761496964,-29.641684150973518,-122.71657238503036
NE,45,545,PA,408,NA,NA,NA
