year,tpa,ba,qmd,sdi,top_ht,n_trees,scenario,variant
8,189,66.57819959436794,8.03658285785077,133.07652263758607,6.391927323357671,189,Calibrated (annualized),CR
9,187,67.21481822514458,8.117980734717044,133.81526939712384,6.402221120924723,187,Calibrated (annualized),CR
10,186,68.19558006788289,8.198944510444832,135.23666409659234,6.412498539652489,186,Calibrated (annualized),CR
11,185,69.46940205246926,8.297499244657713,137.11406894350446,6.422757633999181,185,Calibrated (annualized),CR
12,183,69.90790889714515,8.369006714554972,137.5126734210038,6.432996745182207,183,Calibrated (annualized),CR
13,181,71.08067359612605,8.485409097342323,139.05877372274134,6.443220241065969,181,Calibrated (annualized),CR
14,180,72.27429069802389,8.580092539566634,140.7755134483487,6.45342411141851,180,Calibrated (annualized),CR
15,179,73.55377929910003,8.679851319247847,142.61501438186406,6.463608162917698,179,Calibrated (annualized),CR
16,177,74.29984789511295,8.772909202243335,143.45602728105249,6.473771860564845,177,Calibrated (annualized),CR
17,176,74.84207449253884,8.829840931776525,144.13419937217293,6.483917950857997,176,Calibrated (annualized),CR
18,175,75.65535405107569,8.903015203858189,145.22624834814056,6.494047423257809,175,Calibrated (annualized),CR
19,173,76.42179897957249,8.999572546639518,146.07376529657327,6.504158758169177,173,Calibrated (annualized),CR
20,170,76.29223896689992,9.070934372943464,145.37188482125416,6.514252120426781,170,Calibrated (annualized),CR
21,168,76.00310679804933,9.10746135702588,144.59124856822368,6.524332138082272,168,Calibrated (annualized),CR
22,166,76.81500102251087,9.210968173156433,145.48494866243718,6.5343995492689055,166,Calibrated (annualized),CR
23,165,77.94215464101526,9.306374753174287,147.02009733998577,6.544448480940007,165,Calibrated (annualized),CR
24,164,79.10972893597517,9.404361817748647,148.6063686886878,6.554477209685371,164,Calibrated (annualized),CR
25,163,80.33913910943204,9.506181238080655,150.27522221218115,6.564485460472882,163,Calibrated (annualized),CR
26,162,81.34090961802276,9.59474220511284,151.59276618894353,6.574472850193391,162,Calibrated (annualized),CR
